FileA,FileB,AST,LCS,TFIDF,Hybrid,GroundTruth
09.java,01.java,33.3333,44.7368,87.5000,55.1901,0
09.java,O8.java,62.3377,68.8000,93.7923,74.9766,0
09.java,P9.java,43.6364,53.1646,96.8246,64.5418,0
09.java,P6.java,51.4706,64.0777,97.5441,71.0308,0
09.java,02.java,42.3729,52.3810,92.8825,62.5454,0
09.java,O5.java,60.7143,68.8889,98.7597,76.1209,0
09.java,P3.java,61.5385,62.8571,96.5233,73.6396,0
09.java,U6.java,41.8182,51.2821,95.2926,62.7976,0
U2.java,P7.java,68.2540,79.2453,97.4755,81.6582,0
U2.java,P10.java,61.7647,74.5455,95.3080,77.2061,0
U2.java,P2.java,91.3043,95.4545,98.4306,95.0632,0
U2.java,O10.java,71.6981,74.7253,92.9130,79.7788,0
U2.java,P8.java,50.9434,60.0000,92.6236,67.8557,0
U2.java,P5.java,57.3529,69.1589,89.0396,71.8505,0
U2.java,U4.java,41.3043,49.2308,90.5539,60.3630,0
U2.java,U8.java,39.6226,51.3514,89.7739,60.2493,0
U2.java,U1.java,73.5849,80.4348,98.0708,84.0302,0
U2.java,U3.java,47.3118,61.3139,95.9701,68.1986,0
U2.java,U9.java,64.6154,72.8972,94.7611,77.4246,0
U2.java,O7.java,78.4314,83.5165,98.8974,86.9484,0
U2.java,O4.java,39.6226,52.7027,94.4313,62.2522,0
U2.java,U10.java,55.1020,63.1579,97.5237,71.9279,0
U2.java,01.java,48.8889,62.6866,98.2093,69.9282,0
U2.java,O8.java,61.1111,72.4138,97.5361,77.0203,0
U2.java,P9.java,37.2549,48.5714,97.5237,61.1167,0
U2.java,P6.java,59.3220,72.3404,92.3284,74.6636,0
U2.java,02.java,47.0588,58.6667,92.6665,66.1307,0
U2.java,O5.java,52.8302,66.6667,99.2157,72.9042,0
U2.java,P3.java,71.4286,75.0000,97.2697,81.2327,0
U2.java,U6.java,38.0000,52.1739,90.7218,60.2986,0
P7.java,P10.java,70.2703,76.1905,98.5429,81.6679,0
P7.java,P2.java,70.4918,82.6923,99.2052,84.1298,0
P7.java,O10.java,59.7015,69.1589,98.2093,75.6899,0
P7.java,P8.java,43.2836,52.0833,93.7132,63.0267,0
P7.java,P5.java,68.4932,71.5447,95.4226,78.4868,0
P7.java,U4.java,32.7869,41.9753,93.6864,56.1495,0
P7.java,U8.java,30.4348,42.2222,96.1120,56.2563,0
P7.java,U1.java,66.1538,70.3704,100.0000,78.8414,0
P7.java,U3.java,62.7660,70.5882,97.3702,76.9081,0
P7.java,U9.java,70.8333,73.1707,98.8867,80.9636,0
P7.java,O7.java,72.5806,84.1121,99.8649,85.5192,0
P7.java,O4.java,57.6923,68.2927,96.1889,74.0580,0
P7.java,U10.java,41.5385,50.0000,95.5792,62.3725,0
P7.java,01.java,33.8710,48.1928,95.3391,59.1343,0
P7.java,O8.java,73.6842,77.2727,97.1913,82.7161,0
P7.java,P9.java,28.3582,41.8605,95.5792,55.2659,0
P7.java,P6.java,52.7778,69.0909,95.9836,72.6174,0
P7.java,02.java,40.0000,52.7473,93.6732,62.1401,0
P7.java,O5.java,42.6471,55.6701,97.9912,65.4361,0
P7.java,P3.java,72.3077,75.0000,99.6318,82.3131,0
P7.java,U6.java,30.7692,42.3529,94.0753,55.7325,0
P10.java,P2.java,63.6364,75.9259,98.6315,79.3979,0
P10.java,O10.java,68.1818,75.6757,99.2228,81.0268,0
P10.java,P8.java,42.8571,50.0000,95.0146,62.6239,0
P10.java,P5.java,78.8732,77.1654,97.8048,84.6145,0
P10.java,U4.java,28.7879,37.6471,94.9386,53.7912,0
P10.java,U8.java,32.3944,42.5532,98.3838,57.7771,0
P10.java,U1.java,60.0000,64.2857,98.8867,74.3908,0
P10.java,U3.java,55.4455,66.2420,98.1556,73.2811,0
P10.java,U9.java,64.9351,72.4409,100.0000,79.1253,0
P10.java,O7.java,60.8696,64.8649,98.2960,74.6768,0
P10.java,O4.java,52.7273,61.9048,99.5288,71.3870,0
P10.java,U10.java,37.1429,43.7500,94.7419,58.5449,0
P10.java,01.java,31.8182,41.3793,91.9145,55.0373,0
P10.java,O8.java,72.1519,76.4706,97.4785,82.0337,0
P10.java,P9.java,32.3529,46.6667,90.7407,56.5868,0
P10.java,P6.java,48.0519,61.4035,96.3660,68.6071,0
P10.java,02.java,37.6812,46.3158,95.1240,59.7070,0
P10.java,O5.java,48.5294,61.3861,94.6213,68.1789,0
P10.java,P3.java,61.1111,67.2414,98.1610,75.5045,0
P10.java,U6.java,34.8485,49.4382,94.2990,59.5286,0
P2.java,O10.java,74.5098,74.1573,96.7798,81.8156,0
P2.java,P8.java,52.9412,61.5385,95.9172,70.1323,0
P2.java,P5.java,59.0909,68.5714,93.9931,73.8851,0
P2.java,U4.java,43.1818,50.7937,94.1029,62.6928,0
P2.java,U8.java,41.1765,52.7778,95.1432,63.0325,0
P2.java,U1.java,73.0769,75.5556,99.8728,82.8351,0
P2.java,U3.java,45.1613,57.7778,99.1144,67.3512,0
P2.java,U9.java,64.0625,74.2857,98.5477,78.9653,0
P2.java,O7.java,81.6327,85.3933,100.0000,89.0086,0
P2.java,O4.java,40.3846,54.7945,97.9479,64.3757,0
P2.java,U10.java,54.1667,59.4595,96.5098,70.0453,0
P2.java,01.java,47.7273,58.4615,96.6575,67.6154,0
P2.java,O8.java,60.5634,75.4386,98.1556,78.0525,0
P2.java,P9.java,38.7755,50.0000,96.5098,61.7618,0
P2.java,P6.java,64.2857,76.0870,96.0969,78.8232,0
